code:::name
I0300902:::A I P Indonesia
F0200903:::Aalto University
U0403407:::Aberdeen College, Scotland
U0403101:::Aberdeen University, Scotland
U0404108:::Aberystwyth University, Wales
U0544401:::Abilene Christ.College, Tex
U0401815:::Abingdon School, UK
F0200901:::Abo Akademic, Finland
M0100210:::Academy Of Medicine, Malaysia
U0539902:::Academy Of The New Church, Bryn Athyn
C0200139:::Acadia University canada
U0401510:::Accountancy Tutors
M0100736:::Actim
U0506401:::Adams State College, Alamaso, Colo.
M0100760:::Adb-Asian Dev. Bank
E0500200:::Addis Ababa University, Ethopia
U0533101:::Adelphi University, Garden City, N.Y
M0100744:::Adipa
N0400501:::Administrative Staff College, N.Z
U0523401:::Adrian College, Adrian, Michigan
M0100700:::Agensi Sektor Antarabangsa
M0100500:::Agensi Sektor Awam Malaysia
M0100600:::Agensi Sektor Swasta Malaysia
U0511401:::Agnes Scott College, Decatur, Ga
I0200101:::Agra University, Sarojini Naidu Medical College Agra
I0200149:::Agric Science University, Banglore
I0200148:::Agriculture &Technical University, Pantnagar, India
I0200150:::Agruculture Science University, Mysore
N0600101:::Ahmad Bolo University, Nigeria
M0101148:::AIMST University
E0200101:::Ain-Shams University, Egypt
M0100724:::Ait-Asian Institute Of Technology
K0300107:::Ajou University, Korea
MAL00060:::Akademi Binaan Malaysia Wilayah Sabah
MAL00059:::Akademi Binaan Malaysia Wilayah Sarawak
MAL00061:::Akademi Binaan Malaysia Wilayah Selatan
MAL00058:::Akademi Binaan Malaysia Wilayah Tengah
MAL00063:::Akademi Binaan Malaysia Wilayah Timur
MAL00062:::Akademi Binaan Malaysia Wilayah Utara
M0100920:::Akademi Infotech MARA 
M0100125:::Akademi Laut Malaysia (Alam)
M0101105:::Akademi Penerbangan Malaysia (MAvA)
M0100214:::Akademi Seni Kebangsaan 
I0300901:::Akademi Seni Rupa
J0200433:::Akashi Technological College, Japan
J0200115:::Akita University
U0536101:::Akron University, Akron, Ohio
J0300104:::Al al-Bayt University, Jordan
U0501101:::Alabama A & M University, Normal
U0501102:::Alabama State University, Montgomery
E0200102:::Al-Azhar University, Egypt
U0511402:::Albany State College Albany, Ga
G0300421:::Albert Ludwig University of Freiburg
