code,name,categoryCode,abbrevation
0801014,Pingat Lama Perkhidmatan,02,P.L.P
0801015,Tauliah Lantikan Jaksa Pendamai,02,J.P
0801016,Darjah Dato' Paduka Mahkota Perak (D.P.M.P),01,D.P.M.P
0801017,Anugerah Perkhidmatan Cemerlang (APC),01,APC
0801018,Anugerah Perkhidmatan Cemerlang (APC),03,APC
0901002,Darjah Dato' Paduka Mahkota Perlis (D.P.M.P),01,D.P.M.P
0901003,Pingat Jasa Baik (P.J.B),02,P.J.B
0901004,Pingat Jasa Kebaktian (P.J.K),02,P.J.K
0901005,Darjah Seri Setia Tuanku Syed Sirajuddin Jamalullail (SSSJ),01,S.S.S.J
0901006,Darjah Setia Paduka Tuanku Syed Sirajuddin Jamalullail (SPSJ,01,S.P.S.J
0901007,Seri Paduka Mahkota Perlis (S.P.M.P) atau Al-Safi 1 ,01,S.P.M.P
0901008,Dato' Setia Tuanku Syed Sirajuddin Jamalullail (D.S.S.J.),01,D.S.S.J
0901009,Darjah Dato' Wira Tuanku Syed Sirajuddin Jamalullail (DWSJ),01,D.W.S.J
0901010,Darjah Dato' Panglima Sirajuddin Jamalullail (DPSJ) ,01,D.P.S.J
0901011,Darjah Setia Mahkota Perlis (S.M.P.),02,S.M.P
0901012,Darjah Seri Sirajuddin Perlis (S.S.P),02,S.S.P
0901013,Darjah Ahli Mahkota Perlis (A.M.P),02,A.M.P
0901014,Pingat Mahkota Perlis (P.M.P.) ,02,P.M.P
0901015,Pingat Keberanian Handal (P.K.H) ,02,P.K.H
0901016,Pingat Pekerti Terpilih (P.P.T),02,P.P.T
0901017,Pingat Perkhidmatan Lama (P.P.L),02,P.P.L
1001001,Seri Paduka Mahkota Selangor (S.P.M.S.),01,S.P.M.S
1001002,Dato' Paduka Mahkota Selangor (D.P.M.S),01,D.P.M.S
1001003,Setia Mahkota Selangor (S.M.S),02,S.M.S
1001004,Ahli Mahkota Selangor (A.M.S),02,A.M.S
1001005,Seri - Sultan Sharafuddin Idris Shah,01,S.S.I.S
1001006,Dato' - Sultan Sharafuddin Idris Shah (D.S.I.S.),01,D.S.I.S
1001007,Setia - Sultan Sharafuddin Idris Shah (S.I.S.),02,S.I.S
1001008,Ahli - Sultan Sharafuddin Idris Shah (A.I.S),02,A.I.S
1001009,Bintang Perkhidmatan Cemerlang,02,B.P.C
1001010,Pingat Keberanian Terbilang,02,P.K.T
1001011,Pingat Pekerti Terpilih,02,P.P.T
1001012,Pingat Jasa Kebaktian,02,P.J.K
1001013,Pingat Perkhidmatan Cemerlang,02,P.P.C
1001014,Pingat Perkhidmatan Selangor,02,P.P.S
1001015,Watikah Perlantikan Jaksa Pengaman,02,J.P
1001016,Dato' Setia - Sultan Sharafuddin Idris Shah (S.S.I.S.),01,S.S.I.S.
1001017,Seri Sultan Salahuddin Abdul Aziz Shah (SSSA),01,S.S.S.A
1001018,Ahli Sultan Salahuddin Abdul Aziz Shah (A.S.A),02,
