code,name
00,Tiada Maklumat
01,Melayu
02,Cina
03,India
04,Bangladesh
05,Pakistan
06,Sri Lanka
07,Indonesia
08,Bumiputera Sabah
09,Sabah Lain-lain
10,Bumiputera Sarawak
11,Sarawak Lain-lain
12,Orang Asli (Semenanjung)
13,Lain-lain Asia
14,Eropah
16,Siam
17,Sikh
99,Lain-lain
